Date,구장,원정팀,원정팀점수,홈팀점수,홈팀,연도,원정팀결과,홈팀결과,Wins,Losses,누적승률
03.28(토),광주,LG,1,3,KIA,2015,패,승,1,0,1.0
03.29(일),광주,LG,6,7,KIA,2015,패,승,2,0,1.0
04.01(수),문학,KIA,3,0,SSG,2015,승,패,2,1,0.6666666666666666
04.03(금),수원,KIA,5,0,KT,2015,승,패,2,2,0.5
04.04(토),수원,KIA,10,2,KT,2015,승,패,2,3,0.4
04.05(일),수원,KIA,4,1,KT,2015,승,패,2,4,0.3333333333333333
04.07(화),광주,NC,5,3,KIA,2015,승,패,2,5,0.2857142857142857
04.08(수),광주,NC,13,5,KIA,2015,승,패,2,6,0.25
04.09(목),광주,NC,4,2,KIA,2015,승,패,2,7,0.2222222222222222
04.10(금),대구,KIA,3,4,삼성,2015,패,승,3,7,0.3
04.11(토),대구,KIA,2,5,삼성,2015,패,승,4,7,0.3636363636363636
04.12(일),대구,KIA,9,7,삼성,2015,승,패,4,8,0.3333333333333333
04.15(수),잠실,KIA,9,4,LG,2015,승,패,4,9,0.3076923076923077

04.16(목),잠실,KIA,5,10,LG,2015,패,승,5,9,0.3571428571428571
04.17(금),광주,키움,4,3,KIA,2015,승,패,5,10,0.3333333333333333
04.18(토),광주,키움,5,1,KIA,2015,승,패,5,11,0.3125
04.19(일),광주,키움,15,4,KIA,2015,승,패,5,12,0.2941176470588235
04.21(화),광주,롯데,2,3,KIA,2015,패,승,6,12,0.3333333333333333
04.22(수),광주,롯데,7,6,KIA,2015,승,패,6,13,0.3157894736842105
04.23(목),광주,롯데,6,7,KIA,2015,패,승,7,13,0.35
04.24(금),잠실,KIA,3,7,두산,2015,패,승,8,13,0.3809523809523809
04.25(토),잠실,KIA,5,4,두산,2015,승,패,8,14,0.3636363636363636
04.26(일),잠실,KIA,3,4,두산,2015,패,승,9,14,0.391304347826087
04.29(수),광주,한화,4,9,KIA,2015,패,승,10,14,0.4166666666666667
04.30(목),광주,한화,6,0,KIA,2015,승,패,10,15,0.4
05.01(금),광주,SSG,3,1,KIA,2015,승,패,10,16,0.3846153846153846
05.02(토),광주,SSG,2,5,KIA,2015,패,승,11,16,0.4074074074074074
05.05(화),창원,KIA,3,7,NC,2015,패,승,12,16,0.4285714285714285
05.06(수),창원,KIA,4,5,NC,2015,패,승,13,16,0.4482758620689655
05.07(목),창원,KIA,4,2,NC,2015,승,패,13,17,0.4333333333333333
05.08(금),고척,KIA,4,5,키움,2015,패,승,14,17,0.4516129032258064
05.09(토),고척,KIA,5,7,키움,2015,패,승,15,17,0.46875
05.10(일),고척,KIA,11,6,키움,2015,승,패,15,18,0.4545454545454545
05.12(화),광주,KT,2,3,KIA,2015,패,승,16,18,0.4705882352941176
05.13(수),광주,KT,8,9,KIA,2015,패,승,17,18,0.4857142857142857
05.14(목),광주,KT,2,10,KIA,2015,패,승,18,18,0.5
05.16(토),광주,두산,7,5,KIA,2015,승,패,18,19,0.4864864864864865
05.17(일),광주,두산,3,4,KIA,2015,패,승,19,19,0.5
05.19(화),사직,KIA,3,6,롯데,2015,패,승,20,19,0.5128205128205128
05.20(수),사직,KIA,9,5,롯데,2015,승,패,20,20,0.5
05.21(목),사직,KIA,2,4,롯데,2015,패,승,21,20,0.5121951219512195
05.22(금),광주,삼성,8,1,KIA,2015,승,패,21,21,0.5
05.23(토),광주,삼성,0,1,KIA,2015,패,승,22,21,0.5116279069767442
05.24(일),광주,삼성,0,2,KIA,2015,패,승,23,21,0.5227272727272727
05.26(화),대전,KIA,10,3,한화,2015,승,패,23,22,0.5111111111111111
05.27(수),대전,KIA,4,8,한화,2015,패,승,24,22,0.5217391304347826
05.28(목),대전,KIA,0,3,한화,2015,패,승,25,22,0.5319148936170213
05.29(금),광주,NC,3,13,KIA,2015,패,승,26,22,0.5416666666666666
05.30(토),광주,NC,11,6,KIA,2015,승,패,26,23,0.5306122448979592
05.31(일),광주,NC,7,6,KIA,2015,승,패,26,24,0.52
06.02(화),잠실,KIA,9,1,두산,2015,승,패,26,25,0.5098039215686274
06.03(수),잠실,KIA,1,8,두산,2015,패,승,27,25,0.5192307692307693
06.04(목),잠실,KIA,6,0,두산,2015,승,패,27,26,0.5094339622641509
06.06(토),사직,KIA,2,1,롯데,2015,승,패,27,27,0.5
06.07(일),사직,KIA,2,4,롯데,2015,패,승,28,27,0.509090909090909
06.09(화),광주,키움,4,7,KIA,2015,패,승,29,27,0.5178571428571429
06.10(수),광주,키움,4,3,KIA,2015,승,패,29,28,0.5087719298245614
06.11(목),광주,키움,3,5,KIA,2015,패,승,30,28,0.5172413793103449
06.12(금),광주,삼성,10,2,KIA,2015,승,패,30,29,0.5084745762711864
06.13(토),광주,삼성,4,7,KIA,2015,패,승,31,29,0.5166666666666667
06.16(화),잠실,KIA,4,3,LG,2015,승,패,31,30,0.5081967213114754
06.17(수),잠실,KIA,0,5,LG,2015,패,승,32,30,0.5161290322580645
06.18(목),잠실,KIA,3,5,LG,2015,패,승,33,30,0.5238095238095238
06.19(금),광주,KT,3,7,KIA,2015,패,승,34,30,0.53125
06.21(일),광주,KT,0,7,KIA,2015,패,승,35,30,0.5384615384615384
06.23(화),창원,KIA,7,4,NC,2015,승,패,35,31,0.5303030303030303
06.24(수),창원,KIA,1,8,NC,2015,패,승,36,31,0.5373134328358209
06.26(금),광주,두산,9,1,KIA,2015,승,패,36,32,0.5294117647058824
06.27(토),광주,두산,9,4,KIA,2015,승,패,36,33,0.5217391304347826
06.28(일),광주,두산,1,2,KIA,2015,패,승,37,33,0.5285714285714286
07.01(수),광주,한화,1,6,KIA,2015,패,승,38,33,0.5352112676056338
07.02(목),광주,한화,14,7,KIA,2015,승,패,38,34,0.5277777777777778
07.03(금),수원,KIA,3,10,KT,2015,패,승,39,34,0.5342465753424658
07.04(토),수원,KIA,3,12,KT,2015,패,승,40,34,0.5405405405405406
07.05(일),수원,KIA,2,9,KT,2015,패,승,41,34,0.5466666666666666
07.07(화),고척,KIA,3,1,키움,2015,승,패,41,35,0.5394736842105263
07.08(수),고척,KIA,3,4,키움,2015,패,승,42,35,0.5454545454545454
07.09(목),고척,KIA,4,16,키움,2015,패,승,43,35,0.5512820512820513
07.10(금),문학,KIA,4,7,SSG,2015,패,승,44,35,0.5569620253164557
07.11(토),문학,KIA,0,4,SSG,2015,패,승,45,35,0.5625
07.14(화),광주,LG,3,2,KIA,2015,승,패,45,36,0.5555555555555556
07.16(목),광주,LG,1,15,KIA,2015,패,승,46,36,0.5609756097560976
07.21(화),대구,KIA,2,1,삼성,2015,승,패,46,37,0.5542168674698795
07.22(수),대구,KIA,10,14,삼성,2015,패,승,47,37,0.5595238095238095
07.23(목),대구,KIA,7,2,삼성,2015,승,패,47,38,0.5529411764705883
07.24(금),광주,롯데,8,9,KIA,2015,패,승,48,38,0.5581395348837209
07.25(토),광주,롯데,7,1,KIA,2015,승,패,48,39,0.5517241379310345
07.26(일),광주,롯데,4,2,KIA,2015,승,패,48,40,0.5454545454545454
07.28(화),광주,SSG,3,6,KIA,2015,패,승,49,40,0.550561797752809
07.29(수),광주,SSG,4,5,KIA,2015,패,승,50,40,0.5555555555555556
07.30(목),광주,SSG,4,5,KIA,2015,패,승,51,40,0.5604395604395604
07.31(금),대전,KIA,12,4,한화,2015,승,패,51,41,0.5543478260869565
08.01(토),대전,KIA,9,8,한화,2015,승,패,51,42,0.5483870967741935
08.02(일),대전,KIA,3,2,한화,2015,승,패,51,43,0.5425531914893617
08.04(화),고척,KIA,6,11,키움,2015,패,승,52,43,0.5473684210526316
08.05(수),고척,KIA,2,3,키움,2015,패,승,53,43,0.5520833333333334
08.06(목),광주,KT,7,2,KIA,2015,승,패,53,44,0.5463917525773195
08.07(금),광주,KT,5,6,KIA,2015,패,승,54,44,0.5510204081632653
08.08(토),창원,KIA,2,9,NC,2015,패,승,55,44,0.5555555555555556
08.09(일),창원,KIA,9,2,NC,2015,승,패,55,45,0.55
08.12(수),광주,두산,3,10,KIA,2015,패,승,56,45,0.5544554455445545
