kt,상관관계,kia,상관관계,lg,상관관계,nc,상관관계,ssg,상관관계,두산,상관관계,롯데,상관관계,삼성,상관관계,키움,상관관계,한화,상관관계,,지운 데이터
변수,0.880361327,변수,0.84990924,변수,0.79258364,변수,0.836620367,변수,0.844886765,변수,0.993216998,변수,0.76667025,변수,0.793662769,변수,0.979208245,변수,0.863785291,,승률 승리 승률_투수 도루실패 피홈런 순위_수비 연도 실책 자책점 실점 이닝
홀드,0.859808449,안타,0.849308001,홀드,0.764424384,세이브,0.833393246,세이브,0.832404822,승률_투수,0.848315546,고의타구,0.70024264,볼넷,0.653697772,도루저지율,0.914681121,홈런,0.811842053,,
세이브,0.743920124,타수,0.849140635,세이브,0.667063301,출루율,0.831223396,풋아웃,0.771539686,출루율,0.829142692,타율,0.652445352,출루율,0.637605862,홀드,0.800799418,장타율,0.811373385,,
퀄리티스타트,0.743919538,풋아웃,0.843051657,풋아웃,0.550694953,타율,0.780780413,퀄리티스타트,0.74087841,타율,0.825327978,출루율,0.648620891,홈런,0.627002362,어시스트,0.785122935,득점,0.805010992,,
풋아웃,0.684265,득점,0.839171751,3루타,0.499199831,안타,0.748908664,완봉,0.737689178,타석,0.815271024,세이브,0.648097265,타점,0.605160583,세이브,0.669058094,출루율+장타율,0.794012532,,
평균연봉,0.63832461,타점,0.837711071,완봉,0.380989112,득점권타율,0.732835861,2루타,0.647464595,출루율+장타율,0.809900503,득점권타율,0.606388225,출루율+장타율,0.602897985,출루율+장타율,0.661817498,평균연봉,0.791387033,,
볼넷,0.609058407,타율,0.830604342,누적이동거리,0.368642782,출루율+장타율,0.723569381,홀드,0.611343,수비율,0.806853781,병살타,0.6010061,퀄리티스타트,0.590044567,장타율,0.661267237,루타,0.778808209,,
고의사구,0.555420515,루타,0.830457443,볼넷,0.296915624,득점,0.704999811,평균연봉,0.445536456,2루타,0.804917806,안타,0.592135941,삼진_투수,0.580922423,병살타,0.650438837,타점,0.753542916,,
수비율,0.542495047,득점권타율,0.809233405,고의타구,0.261148324,타점,0.702343336,득점권타율,0.357427424,안타,0.803052388,출루율+장타율,0.565121396,득점,0.557290165,출루율,0.628655059,득점권타율,0.748365317,,
완봉,0.518371123,출루율+장타율,0.796920267,도루허용,0.251678454,타석,0.701836645,사구,0.274727718,득점,0.786629703,득점,0.541255466,장타율,0.54180897,홈런,0.604324412,타율,0.742110606,,
고의타구,0.453474909,장타율,0.78845524,평균연봉,0.230979695,2루타,0.659614318,타수,0.271610167,타점,0.779260674,풋아웃,0.533459107,세이브,0.470787512,득점,0.583798077,세이브,0.727578977,,
타석,0.410894906,타석,0.76629727,득점권타율,0.195240564,루타,0.65226347,삼진_투수,0.19220291,장타율,0.772673816,타점,0.517526288,완봉,0.468605609,3루타,0.579472131,안타,0.701627852,,
삼진,0.396805864,출루율,0.735190458,타점,0.189150522,풋아웃,0.650713558,타점,0.184072314,루타,0.766935922,장타율,0.485314968,홀드,0.448669749,루타,0.564647766,출루율,0.649488157,,
희생플라이,0.370283639,대타타율,0.719894688,득점,0.187617071,3루타,0.647912935,어시스트,0.177954818,퀄리티스타트,0.73483146,루타,0.482033809,루타,0.448304305,타점,0.55850452,2루타,0.613970521,,
