변수,상관관계
승률,1.0
승리,0.9999913677189762
승률_투수,0.9919816101819651
이닝,0.9055593436929196
홈런,0.8637852910039944
장타율,0.811842053040116
득점,0.8113733850547453
출루율+장타율,0.8050109924611016
루타,0.7913870334285106
타점,0.7788082089194462
득점권타율,0.753542915688638
타율,0.7483653166551403
세이브,0.7421106055078593
안타,0.7275789766364421
출루율,0.7016278519426342
2루타,0.6494881570074713
누적이동거리,0.6139705211717567
사구,0.584720566116642
포일,0.58169802408572
타수,0.5695464430192596
고의타구,0.5679921653130175
타석,0.549020901492196
병살,0.5292496885948248
폭투,0.5227494223855372
풋아웃,0.5107162411421162
피홈런,0.48579533339746583
어시스트,0.48391569343291496
피안타,0.4635709832998814
수비율,0.43528022730411925
피안타율,0.43199540684002447
도루저지율,0.41465097193903117
대타타율,0.367380117797045
병살타,0.3581520705632428
견제사,0.31635439008995087
멀티히트,0.30756008506217386
삼진_투수,0.2908923328955778
자책점,0.2858003013577342
희생번트,0.25204068163742666
ERA,0.23432023544815087
3루타,0.20728602103749236
실점,0.20224076893150325
도루실패,0.18313150059072456
총타자상대,0.081485493591697
보크,0.07322553028549386
완투,0.07266529482237884
퀄리티스타트,0.05330263117972641
사구_투수,0.003107367732447495
WHIP,-0.0026453724309192655
희생타,-0.019099918390740853
투구수,-0.07657845919192308
도루허용,-0.10101923774769117
2루타_투수,-0.12542817119330488
볼넷,-0.21477981548723368
희생플라이,-0.2226523626049023
완봉,-0.2665610352614809
홀드,-0.33227937386567863
3루타_투수,-0.3420807098939423
고의사구,-0.39296427885726404
실책,-0.4126613414562911
볼넷_투수,-0.4289302535964731
연도,-0.4388681367198626
순위_수비,-0.46799423927279427
블론세이브,-0.5319505191436663
희생플라이_투수,-0.5804703525933562
순위,-0.5872777042570109
삼진,-0.6319420842481546
순위_투수,-0.6340675733088612
패배,-0.9360389669303979
경기,
경기수,
경기수_수비,
