kt_변수,kt_상관관계,kia_변수,kia_상관관계,lg_변수,lg_상관관계,nc_변수,nc_상관관계,ssg_변수,ssg_상관관계,두산_변수,두산_상관관계,롯데_변수,롯데_상관관계,삼성_변수,삼성_상관관계,키움_변수,키움_상관관계,한화_변수,한화_상관관계
홀드,0.880361327,안타,0.84990924,홀드,0.79258364,세이브,0.836620367,세이브,0.844886765,출루율,0.848315546,고의타구,0.76667025,볼넷,0.793662769,도루저지율,0.979208245,홈런,0.863785291
세이브,0.859808449,타수,0.849308001,세이브,0.764424384,출루율,0.833393246,풋아웃,0.832404822,타율,0.829142692,타율,0.70024264,출루율,0.653697772,홀드,0.914681121,장타율,0.811842053
퀄리티스타트,0.743920124,풋아웃,0.849140635,풋아웃,0.667063301,타율,0.831223396,퀄리티스타트,0.771539686,타석,0.825327978,출루율,0.652445352,홈런,0.637605862,어시스트,0.800799418,득점,0.811373385
풋아웃,0.743919538,득점,0.843051657,3루타,0.550694953,안타,0.780780413,완봉,0.74087841,출루율+장타율,0.815271024,세이브,0.648620891,타점,0.627002362,세이브,0.785122935,출루율+장타율,0.805010992
평균연봉,0.684265,타점,0.839171751,완봉,0.499199831,득점권타율,0.748908664,2루타,0.737689178,수비율,0.809900503,득점권타율,0.648097265,출루율+장타율,0.605160583,출루율+장타율,0.669058094,평균연봉,0.794012532
볼넷,0.63832461,타율,0.837711071,누적이동거리,0.380989112,출루율+장타율,0.732835861,홀드,0.647464595,2루타,0.806853781,병살타,0.606388225,퀄리티스타트,0.602897985,장타율,0.661817498,루타,0.791387033
고의사구,0.609058407,루타,0.830604342,볼넷,0.368642782,득점,0.723569381,평균연봉,0.611343,안타,0.804917806,안타,0.6010061,삼진_투수,0.590044567,병살타,0.661267237,타점,0.778808209
수비율,0.555420515,득점권타율,0.830457443,고의타구,0.296915624,타점,0.704999811,득점권타율,0.445536456,득점,0.803052388,출루율+장타율,0.592135941,득점,0.580922423,출루율,0.650438837,득점권타율,0.753542916
완봉,0.542495047,출루율+장타율,0.809233405,도루허용,0.261148324,타석,0.702343336,사구,0.357427424,타점,0.786629703,득점,0.565121396,장타율,0.557290165,홈런,0.628655059,타율,0.748365317
고의타구,0.518371123,장타율,0.796920267,평균연봉,0.251678454,2루타,0.701836645,타수,0.274727718,장타율,0.779260674,풋아웃,0.541255466,세이브,0.54180897,득점,0.604324412,세이브,0.742110606
타석,0.453474909,타석,0.78845524,득점권타율,0.230979695,루타,0.659614318,삼진_투수,0.271610167,루타,0.772673816,타점,0.533459107,완봉,0.470787512,3루타,0.583798077,안타,0.727578977
삼진,0.410894906,출루율,0.76629727,타점,0.195240564,풋아웃,0.65226347,타점,0.19220291,퀄리티스타트,0.766935922,장타율,0.517526288,홀드,0.468605609,루타,0.579472131,출루율,0.701627852
희생플라이,0.396805864,대타타율,0.735190458,득점,0.189150522,3루타,0.650713558,어시스트,0.184072314,2루타_투수,0.73483146,루타,0.485314968,루타,0.448669749,타점,0.564647766,2루타,0.649488157
